,Ano,cnae_secao,Entrada,Nascimento,Reentrada,Saída de atividade,Sobrevivente,Total de empresas ativas
109,2017,Construção,46817.0,33491.0,13326.0,49511.0,191087.0,237904.0
110,2017,Comércio; reparação de veículos automotores e motocicletas,245288.0,178556.0,66732.0,294465.0,1640413.0,1885701.0
111,2017,"Transporte, armazenagem e correio",33295.0,23891.0,9404.0,37455.0,190634.0,223929.0
112,2017,Alojamento e alimentação,45223.0,36406.0,8817.0,51434.0,260050.0,305273.0
113,2017,Informação e comunicação,26556.0,19056.0,7500.0,25165.0,111243.0,137799.0
114,2017,"Atividades financeiras, de seguros e serviços relacionados",18708.0,14337.0,4371.0,14475.0,71497.0,90205.0
115,2017,Atividades imobiliárias,17916.0,12997.0,4919.0,12350.0,71816.0,89732.0
116,2017,"Atividades profissionais, científicas e técnicas",59469.0,45697.0,13772.0,43599.0,235818.0,295287.0
117,2017,Atividades administrativas e serviços complementares,52366.0,39058.0,13308.0,48777.0,236067.0,288433.0
118,2017,"Administração pública, defesa e seguridade social",33.0,19.0,14.0,31.0,145.0,178.0
119,2017,Educação,15940.0,12248.0,3692.0,13094.0,88631.0,104571.0
120,2017,Saúde humana e serviços sociais,36466.0,30479.0,5987.0,17881.0,158993.0,195459.0
121,2017,"Artes, cultura, esporte e recreação",9130.0,6778.0,2352.0,9005.0,41624.0,50754.0
122,2017,Outras atividades de serviços,16186.0,11988.0,4198.0,18900.0,82567.0,98753.0
123,2017,tal,676444.0,503212.0,173232.0,699376.0,3782234.0,4458678.0
124,2018,"Agricultura, pecuária, produção florestal, pesca e aquicultura",6131.0,4811.0,1320.0,5640.0,27530.0,33661.0
125,2018,Indústrias extrativas,1301.0,866.0,435.0,1657.0,8425.0,9726.0
126,2018,Indústrias de transformação,42200.0,31357.0,10843.0,59579.0,340996.0,383196.0
127,2018,Eletricidade e gás,649.0,424.0,225.0,510.0,2135.0,2784.0
128,2018,"Água, esgoto, atividades de gestão de resíduos e descontaminação",1640.0,1228.0,412.0,1749.0,9122.0,10762.0
129,2018,Construção,50359.0,37246.0,13113.0,52712.0,185732.0,236091.0
130,2018,Comércio; reparação de veículos automotores e motocicletas,231724.0,174928.0,56796.0,320451.0,1559845.0,1791569.0
