,data_base,modalidade,porte,valor_deflacionado
89,2012-07-01,Empréstimo sem consignação em folha,Sem rendimento,5222140090.931612
90,2012-07-01,Habitacional,Acima de 20 salários mínimos,69555282956.841
91,2012-07-01,Habitacional,Até 1 salário mínimo,16604511991.68861
92,2012-07-01,Habitacional,Indisponível,1193929073.94869
93,2012-07-01,Habitacional,Mais de 10 a 20 salários mínimos,71715912135.8534
94,2012-07-01,Habitacional,Mais de 1 a 2 salários mínimos,28037654207.074776
95,2012-07-01,Habitacional,Mais de 2 a 3 salários mínimos,47983962895.80382
96,2012-07-01,Habitacional,Mais de 3 a 5 salários mínimos,59055790297.85741
97,2012-07-01,Habitacional,Mais de 5 a 10 salários mínimos,68859921091.27513
98,2012-07-01,Habitacional,Sem rendimento,1945376128.3035977
99,2012-07-01,Outros créditos,Acima de 20 salários mínimos,12858846636.563768
100,2012-07-01,Outros créditos,Até 1 salário mínimo,2993816347.5488715
101,2012-07-01,Outros créditos,Indisponível,23880671.10316718
102,2012-07-01,Outros créditos,Mais de 10 a 20 salários mínimos,7618643616.901012
103,2012-07-01,Outros créditos,Mais de 1 a 2 salários mínimos,3631974954.117894
104,2012-07-01,Outros créditos,Mais de 2 a 3 salários mínimos,3545570119.166516
105,2012-07-01,Outros créditos,Mais de 3 a 5 salários mínimos,5402104017.892492
106,2012-07-01,Outros créditos,Mais de 5 a 10 salários mínimos,8206465248.216433
107,2012-07-01,Outros créditos,Sem rendimento,4324980734.760204
108,2012-07-01,Rural e agroindustrial,Acima de 20 salários mínimos,42823665143.976616
109,2012-07-01,Rural e agroindustrial,Até 1 salário mínimo,3464094729.8032255
110,2012-07-01,Rural e agroindustrial,Indisponível,1205977999.866329
111,2012-07-01,Rural e agroindustrial,Mais de 10 a 20 salários mínimos,10333967816.841782
112,2012-07-01,Rural e agroindustrial,Mais de 1 a 2 salários mínimos,4884429534.380605
113,2012-07-01,Rural e agroindustrial,Mais de 2 a 3 salários mínimos,4865600306.915384
114,2012-07-01,Rural e agroindustrial,Mais de 3 a 5 salários mínimos,8319976317.070039
115,2012-07-01,Rural e agroindustrial,Mais de 5 a 10 salários mínimos,12022886061.746773
116,2012-07-01,Rural e agroindustrial,Sem rendimento,16338452355.713104
117,2012-07-01,Veículos,Acima de 20 salários mínimos,26081097732.45315
118,2012-07-01,Veículos,Até 1 salário mínimo,23190628607.419884
119,2012-07-01,Veículos,Indisponível,3725981982.2844996
120,2012-07-01,Veículos,Mais de 10 a 20 salários mínimos,19880390780.907578
121,2012-07-01,Veículos,Mais de 1 a 2 salários mínimos,26251598182.946983
122,2012-07-01,Veículos,Mais de 2 a 3 salários mínimos,20269832942.58537
123,2012-07-01,Veículos,Mais de 3 a 5 salários mínimos,33852902940.48375
