,data_base,modalidade,numero_de_operacoes
191,2014-09,Empréstimo sem consignação em folha,25017908
192,2014-09,Habitacional,4298975
193,2014-09,Outros créditos,31571643
194,2014-09,Rural e agroindustrial,3503354
195,2014-09,Veículos,13440702
196,2014-10,Cartão de crédito,122512006
197,2014-10,Empréstimo com consignação em folha,42093675
198,2014-10,Empréstimo sem consignação em folha,25079981
199,2014-10,Habitacional,4357186
200,2014-10,Outros créditos,31900414
201,2014-10,Rural e agroindustrial,3558416
202,2014-10,Veículos,13370363
203,2014-11,Cartão de crédito,123388983
204,2014-11,Empréstimo com consignação em folha,41865226
205,2014-11,Empréstimo sem consignação em folha,24760797
206,2014-11,Habitacional,4410914
207,2014-11,Outros créditos,31347722
208,2014-11,Rural e agroindustrial,3595847
209,2014-11,Veículos,13357516
210,2014-12,Cartão de crédito,127075797
211,2014-12,Empréstimo com consignação em folha,41601037
212,2014-12,Empréstimo sem consignação em folha,22949508
213,2014-12,Habitacional,4467272
214,2014-12,Outros créditos,29772462
215,2014-12,Rural e agroindustrial,3659692
216,2014-12,Veículos,13302324
217,2015-01,Cartão de crédito,128201150
218,2015-01,Empréstimo com consignação em folha,41886672
219,2015-01,Empréstimo sem consignação em folha,23341524
220,2015-01,Habitacional,4516974
221,2015-01,Outros créditos,30544695
222,2015-01,Rural e agroindustrial,3660934
223,2015-01,Veículos,13349261
224,2015-02,Cartão de crédito,125485665
225,2015-02,Empréstimo com consignação em folha,42558282
226,2015-02,Empréstimo sem consignação em folha,23717531
227,2015-02,Habitacional,4553485
228,2015-02,Outros créditos,30574942
229,2015-02,Rural e agroindustrial,3649735
230,2015-02,Veículos,13314259
231,2015-03,Cartão de crédito,125603799
232,2015-03,Empréstimo com consignação em folha,42922732
233,2015-03,Empréstimo sem consignação em folha,24061709
234,2015-03,Habitacional,4602764
235,2015-03,Outros créditos,30947163
236,2015-03,Rural e agroindustrial,3645900
237,2015-03,Veículos,13106061
238,2015-04,Cartão de crédito,124574555
239,2015-04,Empréstimo com consignação em folha,43126395
240,2015-04,Empréstimo sem consignação em folha,24447119
241,2015-04,Habitacional,4657141
242,2015-04,Outros créditos,30986295
243,2015-04,Rural e agroindustrial,3644388
244,2015-04,Veículos,12988710
245,2015-05,Cartão de crédito,124778172
246,2015-05,Empréstimo com consignação em folha,43358173
247,2015-05,Empréstimo sem consignação em folha,24770984
248,2015-05,Habitacional,4695625
249,2015-05,Outros créditos,30874175
250,2015-05,Rural e agroindustrial,3646415
251,2015-05,Veículos,12847650
252,2015-06,Cartão de crédito,125038977
253,2015-06,Empréstimo com consignação em folha,43543058
254,2015-06,Empréstimo sem consignação em folha,24790533
255,2015-06,Habitacional,4735704
256,2015-06,Outros créditos,30972875
257,2015-06,Rural e agroindustrial,3623966
258,2015-06,Veículos,12683227
259,2015-07,Cartão de crédito,124894801
260,2015-07,Empréstimo com consignação em folha,43745518
261,2015-07,Empréstimo sem consignação em folha,24666438
262,2015-07,Habitacional,4778748
263,2015-07,Outros créditos,30701891
264,2015-07,Rural e agroindustrial,3539226
265,2015-07,Veículos,12510750
266,2015-08,Cartão de crédito,124891166
267,2015-08,Empréstimo com consignação em folha,43904847
268,2015-08,Empréstimo sem consignação em folha,24848686
269,2015-08,Habitacional,4836332
270,2015-08,Outros créditos,30976534
271,2015-08,Rural e agroindustrial,3569643
272,2015-08,Veículos,12309452
273,2015-09,Cartão de crédito,122550861
274,2015-09,Empréstimo com consignação em folha,43985021
275,2015-09,Empréstimo sem consignação em folha,24808767
276,2015-09,Habitacional,4864525
277,2015-09,Outros créditos,30888837
278,2015-09,Rural e agroindustrial,3597411
279,2015-09,Veículos,12163912
280,2015-10,Cartão de crédito,124104101
281,2015-10,Empréstimo com consignação em folha,43909065
282,2015-10,Empréstimo sem consignação em folha,24639516
283,2015-10,Habitacional,4896785
284,2015-10,Outros créditos,30452108
285,2015-10,Rural e agroindustrial,3607406
286,2015-10,Veículos,12015551
287,2015-11,Cartão de crédito,126489984
288,2015-11,Empréstimo com consignação em folha,43878339
289,2015-11,Empréstimo sem consignação em folha,24568215
290,2015-11,Habitacional,4922519
291,2015-11,Outros créditos,30246631
292,2015-11,Rural e agroindustrial,3627734
293,2015-11,Veículos,11859423
294,2015-12,Cartão de crédito,128704690
295,2015-12,Empréstimo com consignação em folha,43946856
296,2015-12,Empréstimo sem consignação em folha,23199893
297,2015-12,Habitacional,5010579
298,2015-12,Outros créditos,28743224
299,2015-12,Rural e agroindustrial,3666987
300,2015-12,Veículos,11604563
301,2016-01,Cartão de crédito,127553634
302,2016-01,Empréstimo com consignação em folha,44714267
303,2016-01,Empréstimo sem consignação em folha,23445480
304,2016-01,Habitacional,5050980
305,2016-01,Outros créditos,29930535
306,2016-01,Rural e agroindustrial,3665948
307,2016-01,Veículos,11520779
308,2016-02,Cartão de crédito,127274376
309,2016-02,Empréstimo com consignação em folha,45409443
310,2016-02,Empréstimo sem consignação em folha,23629912
311,2016-02,Habitacional,5078861
312,2016-02,Outros créditos,30364671
313,2016-02,Rural e agroindustrial,3656873
314,2016-02,Veículos,11414190
315,2016-03,Cartão de crédito,125750780
316,2016-03,Empréstimo com consignação em folha,45868730
317,2016-03,Empréstimo sem consignação em folha,23933515
318,2016-03,Habitacional,5127935
319,2016-03,Outros créditos,30321690
320,2016-03,Rural e agroindustrial,3657605
321,2016-03,Veículos,11250634
322,2016-04,Cartão de crédito,124463693
323,2016-04,Empréstimo com consignação em folha,46062831
324,2016-04,Empréstimo sem consignação em folha,24540148
325,2016-04,Habitacional,5128084
326,2016-04,Outros créditos,30101488
327,2016-04,Rural e agroindustrial,3660827
328,2016-04,Veículos,11131453
329,2016-05,Cartão de crédito,125931434
330,2016-05,Empréstimo com consignação em folha,46276436
331,2016-05,Empréstimo sem consignação em folha,24500714
332,2016-05,Habitacional,5158052
333,2016-05,Outros créditos,30239496
334,2016-05,Rural e agroindustrial,3647953
335,2016-05,Veículos,10958994
336,2016-06,Cartão de crédito,187287827
337,2016-06,Empréstimo com consignação em folha,51014800
338,2016-06,Empréstimo sem consignação em folha,27977493
339,2016-06,Habitacional,5335897
340,2016-06,Outros créditos,41417261
341,2016-06,Rural e agroindustrial,3658649
342,2016-06,Veículos,11074283
343,2016-07,Cartão de crédito,185414723
344,2016-07,Empréstimo com consignação em folha,51014435
345,2016-07,Empréstimo sem consignação em folha,27586459
346,2016-07,Habitacional,5364841
347,2016-07,Outros créditos,40427314
348,2016-07,Rural e agroindustrial,3600227
349,2016-07,Veículos,10935912
350,2016-08,Cartão de crédito,186693879
351,2016-08,Empréstimo com consignação em folha,51033559
352,2016-08,Empréstimo sem consignação em folha,27254248
353,2016-08,Habitacional,5397707
354,2016-08,Outros créditos,40669824
355,2016-08,Rural e agroindustrial,3627277
356,2016-08,Veículos,10763874
357,2016-09,Cartão de crédito,185246386
358,2016-09,Empréstimo com consignação em folha,50856282
359,2016-09,Empréstimo sem consignação em folha,26652836
360,2016-09,Habitacional,5427612
361,2016-09,Outros créditos,39918287
362,2016-09,Rural e agroindustrial,3657702
363,2016-09,Veículos,10641690
364,2016-10,Cartão de crédito,185169646
365,2016-10,Empréstimo com consignação em folha,50786183
366,2016-10,Empréstimo sem consignação em folha,26180429
367,2016-10,Habitacional,5399511
368,2016-10,Outros créditos,39789015
369,2016-10,Rural e agroindustrial,3661495
370,2016-10,Veículos,10469362
371,2016-11,Cartão de crédito,185501370
372,2016-11,Empréstimo com consignação em folha,50620960
373,2016-11,Empréstimo sem consignação em folha,25628730
374,2016-11,Habitacional,5438595
375,2016-11,Outros créditos,42943515
376,2016-11,Rural e agroindustrial,3675908
377,2016-11,Veículos,10350851
378,2016-12,Cartão de crédito,188842220
379,2016-12,Empréstimo com consignação em folha,50326477
380,2016-12,Empréstimo sem consignação em folha,23659643
381,2016-12,Habitacional,5491247
382,2016-12,Outros créditos,41943511
383,2016-12,Rural e agroindustrial,3714618
384,2016-12,Veículos,10192000
385,2017-01,Cartão de crédito,188931685
386,2017-01,Empréstimo com consignação em folha,50976442
387,2017-01,Empréstimo sem consignação em folha,23544850
388,2017-01,Habitacional,5511865
389,2017-01,Outros créditos,42717543
390,2017-01,Rural e agroindustrial,3697049
391,2017-01,Veículos,10130289
392,2017-02,Cartão de crédito,188186729
393,2017-02,Empréstimo com consignação em folha,51414709
394,2017-02,Empréstimo sem consignação em folha,23593358
395,2017-02,Habitacional,5539891
396,2017-02,Outros créditos,41285799
397,2017-02,Rural e agroindustrial,3695101
398,2017-02,Veículos,10102240
399,2017-03,Cartão de crédito,185303965
400,2017-03,Empréstimo com consignação em folha,51786377
401,2017-03,Empréstimo sem consignação em folha,23785026
402,2017-03,Habitacional,5548718
403,2017-03,Outros créditos,41886147
404,2017-03,Rural e agroindustrial,3688735
405,2017-03,Veículos,9974062
406,2017-04,Cartão de crédito,183919783
407,2017-04,Empréstimo com consignação em folha,51777748
408,2017-04,Empréstimo sem consignação em folha,23774234
409,2017-04,Habitacional,5575554
410,2017-04,Outros créditos,40578578
411,2017-04,Rural e agroindustrial,3695632
412,2017-04,Veículos,9907897
413,2017-05,Cartão de crédito,186982311
414,2017-05,Empréstimo com consignação em folha,52059039
415,2017-05,Empréstimo sem consignação em folha,23891701
416,2017-05,Habitacional,5596145
417,2017-05,Outros créditos,40418245
418,2017-05,Rural e agroindustrial,3688681
419,2017-05,Veículos,9813209
420,2017-06,Cartão de crédito,188073626
421,2017-06,Empréstimo com consignação em folha,51979929
422,2017-06,Empréstimo sem consignação em folha,23968386
423,2017-06,Habitacional,5624293
424,2017-06,Outros créditos,40170490
