,ano,cnae_secao,Estado,Valor,ativo_problematico_deflacionado,ativo_problematico/pop
151,2017,Outras atividades de serviços,ACRE,830026.0,541432.8764987752,0.6523083331109811
152,2017,Saúde humana e serviços sociais,ACRE,830026.0,826549.1322157172,0.9958111338870316
153,2017,Serviços domésticos,ACRE,830026.0,0.0,0.0
154,2017,"Transporte, armazenagem e correio",ACRE,830026.0,3534296.6396574536,4.258055337612863
155,2017,"Água, esgoto, atividades de gestão de resíduos e descontaminação",ACRE,830026.0,105950.52917595328,0.12764724138274378
164,2018,"Administração pública, defesa e seguridade social",ACRE,830026.0,740349583.7988721,891.9595094597905
165,2018,"Agricultura, pecuária, produção florestal, pesca e aqüicultura",ACRE,830026.0,370751.21845974546,0.4466742228071717
166,2018,Alojamento e alimentação,ACRE,830026.0,5689229.769372537,6.854278985685433
167,2018,"Artes, cultura, esporte e recreação",ACRE,830026.0,152511.6021434935,0.18374316243526528
168,2018,Atividades administrativas e serviços complementares,ACRE,830026.0,6389076.69138319,7.697441636024884
169,2018,"Atividades financeiras, de seguros e serviços relacionados",ACRE,830026.0,111881.25748861986,0.13479247335459354
170,2018,Atividades imobiliárias,ACRE,830026.0,2266445.375610012,2.730571543072159
171,2018,"Atividades profissionais, científicas e técnicas",ACRE,830026.0,2999149.4835824557,3.6133199244149647
172,2018,Comércio; reparação de veículos automotores e motocicletas,ACRE,830026.0,60813889.83328145,73.26745166209426
173,2018,Construção,ACRE,830026.0,26534626.572970614,31.968428185346742
174,2018,Educação,ACRE,830026.0,1706239.8446206418,2.055646262431107
175,2018,Indústrias de transformação,ACRE,830026.0,5752325.303508683,6.930295320277537
176,2018,Indústrias extrativas,ACRE,830026.0,106616.20523803713,0.12844923561194124
177,2018,Informação e comunicação,ACRE,830026.0,536562.4728743242,0.6464405607466804
178,2018,Outras atividades de serviços,ACRE,830026.0,799498.6800334997,0.9632212485313709
179,2018,Saúde humana e serviços sociais,ACRE,830026.0,1212104.1082841924,1.4603206505388897
180,2018,Serviços domésticos,ACRE,830026.0,0.0,0.0
181,2018,"Transporte, armazenagem e correio",ACRE,830026.0,1803563.7556112327,2.172900313497689
182,2018,"Água, esgoto, atividades de gestão de resíduos e descontaminação",ACRE,830026.0,40968.53021802272,0.04935812880322149
191,2019,"Administração pública, defesa e seguridade social",ACRE,830026.0,564872743.9226586,680.5482526121574
