,titular_1,titular_parceiros1,titular_parceiros2,titular_abv,titular_uf1,Regiao,class_int1,IPC1,IPC2,Area
897,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,CIRINO ALBERTO GOULART EIRELI - EPP (BIOGENETICS),UNIVERSIDADE FEDERAL DA PARAÍBA - UFPB,UFU,MG,Sudeste,A61K 50/00,A61K,50/00,Produtos farmacêuticos
898,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,UNIVERSIDADE FEDERAL DA PARAÍBA,,UFRPE,PE,Nordeste,A23L 2/39,A23L,2/39,Química Alimentar
899,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,UNIVERSIDADE FEDERAL DE PERNAMBUCO,,UFRPE,PE,Nordeste,A61B 5/11,A61B,5/11,Tecnologia médica
900,UNIVERSIDADE FEDERAL DE VIÇOSA,ANDRÉ LUIS CARVALHO MENDES,GUSTAVO LAPORINÊ BAÊSSO E SILVA; PEDRO HENRIQUE DE MOURA RODRIGUES,UFV,MG,Sudeste,A01G 9/14,A01G,9/14,Outras máquinas especiais
901,UNIVERSIDADE FEDERAL DE ALAGOAS,,,UFAL,AL,Nordeste,C12P 7/08,C12P,7/08,Biotecnologia
902,CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS,,,CEFET-MG,MG,Sudeste,A61L 24/02,A61L,24/02,Tecnologia médica
903,FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS,,,UFT,TO,Centro-Oeste,A61K 36/24,A61K,36/24,Produtos farmacêuticos
904,FUNDACAO UNIVERSIDADE FEDERAL DE CIENCIAS DA SAUDE DE PORTO ALEGRE,,,UFCSPA,RS,Sul,G09B 19/22,G09B,19/22,Controle
905,UNIVERSIDADE FEDERAL DO PARANA,,,UFPR,PR,Sul,A61K 8/06,A61K/8,8/06,Química fina orgânica
906,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,FUNDAÇÃO DE AMPARO Á PESQUISA DO ESTADO DE MINAS GERAIS,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO ESPÍRITO SANTO; FUNDAÇÃO PIO XII",UFSJ,MG,Sudeste,A61K 36/185,A61K,36/185,Produtos farmacêuticos
907,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO ESPÍRITO SANTO",UNIVERSIDADE FEDERAL DE GOIÁS; FUNDAÇÃO PIO XII; FUNDAÇÃO DE AMPARO Á PESQUISA DO ESTADO DE MINAS GERAIS,UFSJ,MG,Sudeste,A61K 36/185,A61K,36/185,Produtos farmacêuticos
908,INSTITUTO FEDERAL DO PARANÁ,,,IFPR,PR,Sul,B23D 41/00,B23D,41/00,Máquina operatriz
909,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE - PB,UNIVERSIDADE FEDERAL DO MATO GROSSO,,UFCG,PB,Nordeste,D21H 11/12,D21H,11/12,Máquinas têxteis e de papel
910,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE - PB,,,UFCG,PB,Nordeste,B01D 39/16,B01D,39/16,Engenharia química
911,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,,,UFRJ,RJ,Sudeste,H02J 3/36,H02J,3/36,"Máquinas elétricas, aparelhos, energia"
912,UNIVERSIDADE FEDERAL DO PARÁ,,,UFPA,PA,Norte,H01P 1/20,H01P,1/20,Telecomunicações
913,UNIVERSIDADE FEDERAL DE MINAS GERAIS,,,UFMG,MG,Sudeste,A61K 38/08,A61K,38/08,Produtos farmacêuticos
914,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FLUMINENSE",,,IFFLUMINENSE,RJ,Sudeste,B25J 9/16,B25J,9/16,Manuseio
915,UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA,,,UTFPR,PR,Sul,B24B 19/22,B24B,19/22,Máquina operatriz
916,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,,,UFU,MG,Sudeste,F28D 5/00,F28D,5/00,Processos e aparelhos térmicos
917,UNIVERSIDADE FEDERAL DE MINAS GERAIS,,,UFMG,MG,Sudeste,H04L 12/771,H04L,12/771,Comunicação digital
918,INSTITUTO FEDERAL DO PARANÁ,,,IFPR,PR,Sul,G01N 21/25,G01N,21/25,Medição
919,INSTITUTO FEDERAL DO PARANÁ,,,IFPR,PR,Sul,A63F 3/02,A63F,3/02,"Móveis, jogos"
920,FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO,,,UFMT,MT,Centro-Oeste,A01N 43/38,A01N,43/38,Química de materiais básicos
921,INSTITUTO FEDERAL DO PARANÁ,,,IFPR,PR,Sul,G09B 19/22,G09B,19/22,Controle
922,INSTITUTO FEDERAL DO PARANÁ,,,IFPR,PR,Sul,B28B 7/18,B28B,7/18,Outras máquinas especiais
923,INSTITUTO FEDERAL DO PARANÁ,,,IFPR,PR,Sul,F16C 32/04,F16C,32/04,Elementos mecânicos
924,INSTITUTO FEDERAL DO PARANÁ,,,IFPR,PR,Sul,F16K 31/02,F16K,31/02,Elementos mecânicos
925,INSTITUTO FEDERAL DO PARANÁ,,,IFPR,PR,Sul,A01G 25/16,A01G,25/16,Outras máquinas especiais
926,INSTITUTO FEDERAL DO PARANÁ,,,IFPR,PR,Sul,A01G 25/02,A01G,25/02,Outras máquinas especiais
927,INSTITUTO FEDERAL DO PARANÁ,,,IFPR,PR,Sul,G05B 19/042,G05B,19/042,Controle
928,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,,,UFRGS,RS,Sul,G06Q 10/06,G06Q,10/06,Métodos de TI para gerenciamento
929,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,,,UFU,MG,Sudeste,B22F 9/24,B22F,9/24,"Materiais, metalurgia"
930,UNIVERSIDADE FEDERAL DO MARANHÃO,UNIVERSIDADE ESTADUAL DO MARANHÃO,,UFMA,MA,Nordeste,A61K 36/062,A61K,36/062,Produtos farmacêuticos
931,UNIVERSIDADE FEDERAL DO PARANA,BIO4-SOLUÇÕES BIOTECNOLÓGICAS,,UFPR,PR,Sul,C05F 5/00,C05F,5/00,Química de materiais básicos
932,UNIVERSIDADE FEDERAL DE MINAS GERAIS,,,UFMG,MG,Sudeste,B09B 3/00,B09B,3/00,Tecnologia Ambiental
933,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO SUL DE MINAS GERAIS - IFSULDEMINAS",,,IFSULDEMINAS,MG,Sudeste,B05B 9/043,B05B,9/043,Engenharia química
934,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,,,UFRGS,RS,Sul,C10B 53/02,C10B,53/02,Química de materiais básicos
935,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FLUMINENSE",,,IFFLUMINENSE,RJ,Sudeste,G05D 23/19,G05D,23/19,Controle
936,UNIVERSIDADE FEDERAL DE MINAS GERAIS,,,UFMG,MG,Sudeste,A61B 17/17,A61B,17/17,Tecnologia médica
937,UNIVERSIDADE FEDERAL DE GOIÁS,,,UFG,GO,Centro-Oeste,G01N 21/78,G01N,21/78,Medição
938,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UNIVERSIDADE FEDERAL DO VALE DO SÃO FRANCISCO - UNIVASF,,UFPE,PE,Nordeste,A61K 36/61,A61K,36/61,Produtos farmacêuticos
939,CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS,UNIVERSIDADE FEDERAL DE MINAS GERAIS,,CEFET-MG,MG,Sudeste,A61K 47/36,A61K,47/36,Produtos farmacêuticos
940,MARCELO CAIRRAO ARAUJO RODRIGUES,UNIVERSIDADE FEDERAL DE PERNAMBUCO,IGOR TCHAIKOVSKY MELLO DE OLIVEIRA; GABRIEL HENRIQUE ALBUQUERQUE LINS; JENIFFER EMÍDIO DE ALMEIDA ALBUQUERQUE; MAÍRA ARAÚJO DE SANTANA; MARILIA MARINHO DE LUCENA; MARIA KAROLINE DA SILVA ANDRADE; MAURÍCIO DA SILVA JUNIOR; WELLINGTON PINHEIRO DOS SANTOS; WASHINGTON WAGNER AZEVEDO DA SILVA,,PE,Nordeste,A61B 5/0482,A61B,5/0482,Tecnologia médica
941,UNIVERSIDADE FEDERAL DE MINAS GERAIS,,,UFMG,MG,Sudeste,C12Q 1/68,C12Q,1/68,Biotecnologia
942,UNIVERSIDADE FEDERAL DO PIAUÍ,,,UFPI,PI,Nordeste,A61K 47/36,A61K,47/36,Produtos farmacêuticos
943,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,,,UFU,MG,Sudeste,C07C 67/54,C07C,67/54,Química fina orgânica
944,UNIVERSIDADE FEDERAL DE VIÇOSA,,,UFV,MG,Sudeste,G01N 33/02,G01N/33,33/02,Análise de materiais biológicos
945,UNIVERSIDADE FEDERAL DO PARÁ,UNIVERSIDADE DO ESTADO DO PARÁ,,UFPA,PA,Norte,A61K 36/185,A61K,36/185,Produtos farmacêuticos
946,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,FAPEMIG - FUNDAÇÃO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS,UNIVERSIDADE FEDERAL DE LAVRAS,UFU,MG,Sudeste,C02F 9/00,C02F,9/00,Tecnologia Ambiental
947,UNIVERSIDADE FEDERAL DE ALAGOAS,,,UFAL,AL,Nordeste,C12P 3/00,C12P,3/00,Biotecnologia
948,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,,,UFRGS,RS,Sul,F03D 1/00,F03D,1/00,"Motores, bombas, turbinas"
949,UNIVERSIDADE FEDERAL DE PERNAMBUCO,,,UFPE,PE,Nordeste,C01G 39/02,C01G,39/02,"Materiais, metalurgia"
950,DUX PARTICIPAÇÕES E NEGOCIOS LTDA,GUARACIABA TRANSMISSORA DE ENERGIA (TP SUL) S.A,LUZIANIA - NIQUELANDIA TRANSMISSORA S.A; MATRINCHA TRANSMISSORA DE ENERGIA (TP NORTE) S.A; PARANAIBA TRANSMISSORA DE ENERGIA S.A; UNIVERSIDADE FEDERAL DO RIO DE JANEIRO - UFRJ,,RJ,Sudeste,H02J 13/00,H02J,13/00,"Máquinas elétricas, aparelhos, energia"
951,UNIVERSIDADE FEDERAL DE MINAS GERAIS,,,UFMG,MG,Sudeste,A61K 31/426,A61K,31/426,Produtos farmacêuticos
952,UNIVERSIDADE FEDERAL FLUMINENSE,,,UFF,RJ,Sudeste,B63B 3/10,B63B,3/10,Transporte
953,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,,,UFRPE,PE,Nordeste,A01N 1/02,A01N,1/02,Química de materiais básicos
954,UNIVERSIDADE FEDERAL DO MARANHÃO,,,UFMA,MA,Nordeste,A61K 36/185,A61K,36/185,Produtos farmacêuticos
955,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,,,UFRGS,RS,Sul,G01N 33/574,G01N/33,33/574,Análise de materiais biológicos
956,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO SUL DE MINAS GERAIS - IFSULDEMINAS",,,IFSULDEMINAS,MG,Sudeste,C09B 61/00,C09B,61/00,Química de materiais básicos
957,UNIVERSIDADE FEDERAL DE GOIÁS,,,UFG,GO,Centro-Oeste,B03D 1/004,B03D,1/004,Engenharia química
958,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE",UNIVERSIDADE ESTADUAL DO NORTE FLUMINENSE DARCY RIBEIRO,UFRN,RN,Nordeste,B22F 3/00,B22F,3/00,"Materiais, metalurgia"
959,UNIVERSIDADE FEDERAL DE JUIZ DE FORA - UFJF,,,UFJF,MG,Sudeste,A61K 36/185,A61K,36/185,Produtos farmacêuticos
960,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UNIVERSIDADE FEDERAL DE OURO PRETO - UFOP,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO - UFRJ,UFMG,MG,Sudeste,A61K 47/34,A61K,47/34,Produtos farmacêuticos
961,UNIVERSIDADE FEDERAL DE GOIÁS,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  GOIANO",,UFG,GO,Centro-Oeste,B03D 1/016,B03D,1/016,Engenharia química
962,UNIFEI - UNIVERSIDADE FEDERAL DE ITAJUBÁ,"UNIVERSIDADE ESTADUAL PAULISTA ""JÚLIO DE MESQUITA FILHO""",,UNIFEI,MG,Sudeste,A61L 27/40,A61L,27/40,Tecnologia médica
963,UNIVERSIDADE FEDERAL DE JUIZ DE FORA - UFJF,EMPRESA BRASILEIRA DE PESQUISA AGROPECUÁRIA - EMBRAPA,FUNDAÇÃO HOSPITALAR DO ESTADO DE MINAS GERAIS,UFJF,MG,Sudeste,C12M 1/30,C12M,1/30,Biotecnologia
964,FUNDACAO UNIVERSIDADE FEDERAL DO VALE DO SAO FRANCISCO,,,UNIVASF,PE,Nordeste,C08L 3/04,C08L,3/04,"Química macromolecular, polímeros"
965,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE - PB,ENERSYSTEM DO BRASIL LTDA,,UFCG,PB,Nordeste,G01R 19/00,G01R,19/00,Medição
966,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ",,,IFCE,CE,Nordeste,F03D 1/06,F03D,1/06,"Motores, bombas, turbinas"
967,UNIVERSIDADE FEDERAL DA PARAIBA,,,UFPB,PB,Nordeste,G01N 30/06,G01N,30/06,Medição
968,UNIVERSIDADE FEDERAL DA PARAIBA,,,UFPB,PB,Nordeste,A61K 9/51,A61K,9/51,Produtos farmacêuticos
969,UNIVERSIDADE FEDERAL DO PARANA,,,UFPR,PR,Sul,G09B 23/30,G09B,23/30,Controle
970,UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA,,,UFRB,BA,Nordeste,C12H 1/052,C12H,1/052,Química Alimentar
971,INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO AMAZONAS,CAIQUE ANDRE CARRIEL DA SILVA 01649453264,,IFAM,AM,Norte,A23L 25/00,A23L,25/00,Química Alimentar
972,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO - UFRPE,,UFPE,PE,Nordeste,A01N 65/28,A01N,65/28,Química de materiais básicos
973,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SANTA CATARINA",,,IFSC,SC,Sul,B65H 29/22,B65H,29/22,Manuseio
974,UNIVERSIDADE FEDERAL DE MINAS GERAIS,,,UFMG,MG,Sudeste,G01N 3/22,G01N,3/22,Medição
975,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PAMPA,,,UNIPAMPA,RS,Sul,C23F 11/10,C23F,11/10,"Tecnologia de superfície, revestimento"
976,UNIVERSIDADE FEDERAL DE GOIÁS,UNIVERSIDAD NACIONAL DEL NORDESTE,,UFG,GO,Centro-Oeste,A61K 36/48,A61K,36/48,Produtos farmacêuticos
977,UNIFEI - UNIVERSIDADE FEDERAL DE ITAJUBÁ,UNIVERSIDADE FEDERAL DE LAVRAS,,UNIFEI,MG,Sudeste,B07C 5/342,B07C,5/342,Engenharia química
978,UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO,,,UFRRJ,RJ,Sudeste,A01B 79/00,A01B,79/00,Outras máquinas especiais
979,FUNDAÇÃO UNIVERSIDADE FEDERAL DO AMAPÁ,,,UNIFAP,AP,Norte,C02F 1/32,C02F,1/32,Tecnologia Ambiental
980,INSTITUTO DE TECNOLOGIA E PESQUISA,UNIVERSIDADE TIRADENTES,UNIVERSIDADE FEDERAL DE SERGIPE; UNIVERSIDADE DE SOROCABA,,SE,Nordeste,A61K 31/167,A61K,31/167,Produtos farmacêuticos
981,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE ALAGOAS - IFAL",,,IFAL,AL,Nordeste,C04B 24/08,C04B,24/08,"Materiais, metalurgia"
982,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DA PARAIBA",UNIVERSIDADE FEDERAL DA PARAÍBA,,IFPB,PB,Nordeste,H02P 6/08,H02P,6/08,"Máquinas elétricas, aparelhos, energia"
983,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DA PARAIBA",UNIVERSIDADE FEDERAL DA PARAÍBA,,IFPB,PB,Nordeste,H02S 20/30,H02S,20/30,"Máquinas elétricas, aparelhos, energia"
984,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,,,UFSJ,MG,Sudeste,C02F 9/00,C02F,9/00,Tecnologia Ambiental
985,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE",,,IFRN,RN,Nordeste,A01K 47/06,A01K,47/06,Outras máquinas especiais
986,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,,,UFRGS,RS,Sul,A01K 1/10,A01K,1/10,Outras máquinas especiais
987,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UNIVERSIDADE FEDERAL DO TOCANTINS - UFT,,UFU,MG,Sudeste,B05C 3/02,B05C,3/02,"Tecnologia de superfície, revestimento"
988,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO SUL DE MINAS GERAIS - IFSULDEMINAS",,,IFSULDEMINAS,MG,Sudeste,A63F 3/04,A63F,3/04,"Móveis, jogos"
989,UNIFEI - UNIVERSIDADE FEDERAL DE ITAJUBÁ,,,UNIFEI,MG,Sudeste,H01Q 1/28,H01Q,1/28,Telecomunicações
990,UNIFEI - UNIVERSIDADE FEDERAL DE ITAJUBÁ,,,UNIFEI,MG,Sudeste,H01L 35/32,H01L,35/32,Semicondutores
991,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,,,UFES,,,C12Q 1/6893,C12Q,1/6893,Biotecnologia
992,UNIVERSIDADE FEDERAL DE VIÇOSA,UNIVERSIDADE FEDERAL DE JUIZ DE FORA,,UFV,MG,Sudeste,C12N 15/40,C12N,15/40,Biotecnologia
993,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,,,UFSJ,MG,Sudeste,C12N 15/62,C12N,15/62,Biotecnologia
994,UNIVERSIDADE FEDERAL DA PARAIBA,,,UFPB,PB,Nordeste,G01L 1/22,G01L,1/22,Medição
995,UNIVERSIDADE FEDERAL DE JUIZ DE FORA - UFJF,,,UFJF,MG,Sudeste,C12N 15/13,C12N,15/13,Biotecnologia
996,UNIVERSIDADE FEDERAL DA GRANDE DOURADOS,,,UFGD,MS,Centro-Oeste,C12N 15/31,C12N,15/31,Biotecnologia
997,UNIVERSIDADE FEDERAL DE VIÇOSA,UNIVERSIDADE FEDERAL DE MINAS GERAIS,,UFV,MG,Sudeste,C12N 15/22,C12N,15/22,Biotecnologia
998,UNIVERSIDADE FEDERAL DA PARAIBA,,,UFPB,PB,Nordeste,A01K 59/00,A01K,59/00,Outras máquinas especiais
999,INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO MARANHÃO,UNIVERSIDADE FEDERAL DO MARANHÃO,,IFMA,MA,Nordeste,A61K 9/70,A61K,9/70,Produtos farmacêuticos
1000,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ",,,IFCE,CE,Nordeste,A01K 61/80,A01K,61/80,Outras máquinas especiais
1001,UNIVERSIDADE FEDERAL DO CEARÁ,,,UFC,CE,Nordeste,C04B 35/00,C04B,35/00,"Materiais, metalurgia"
1002,FUNDAÇÃO UNIVERSIDADE DO AMAZONAS,,,UFAM,AM,Norte,C07D 311/68,C07D,311/68,Química fina orgânica
1003,UNIVERSIDADE FEDERAL DE MINAS GERAIS,,,UFMG,MG,Sudeste,B01D 71/70,B01D,71/70,Engenharia química
1004,INSTITUTO DE TECNOLOGIA E PESQUISA,UNIVERSIDADE TIRADENTES,UNIVERSIDADE FEDERAL DE SERGIPE; UNIVERSIDADE DE SOROCABA,,SE,Nordeste,A61K 9/14,A61K,9/14,Produtos farmacêuticos
1005,UNIVERSIDADE FEDERAL DE GOIÁS,,,UFG,GO,Centro-Oeste,A01N 1/02,A01N,1/02,Química de materiais básicos
1006,UNIVERSIDADE FEDERAL DO MARANHÃO,,,UFMA,MA,Nordeste,A23B 7/02,A23B,7/02,Química Alimentar
1007,UNIVERSIDADE FEDERAL DE VIÇOSA,,,UFV,MG,Sudeste,A61L 2/10,A61L,2/10,Tecnologia médica
1008,FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO,,,UFMT,MT,Centro-Oeste,A63B 23/16,A63B,23/16,"Móveis, jogos"
1009,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,,,UFRPE,PE,Nordeste,A01N 65/03,A01N,65/03,Química de materiais básicos
1010,UNIVERSIDADE FEDERAL DE VIÇOSA,,,UFV,MG,Sudeste,C07D 307/46,C07D,307/46,Química fina orgânica
1011,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,"FUNDAÇÃO DE ASSISTÊNCIA, ESTUDO E PESQUISA DE UBERLÂNDIA - FAEPU",,UFU,MG,Sudeste,F24F 11/46,F24F,11/46,Processos e aparelhos térmicos
1012,UNIVERSIDADE FEDERAL DE PERNAMBUCO,,,UFPE,PE,Nordeste,G01L 1/00,G01L,1/00,Medição
1013,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,,,UFU,MG,Sudeste,H01L 23/12,H01L,23/12,Semicondutores
1014,UNIVERSIDADE FEDERAL DO PARÁ,,,UFPA,PA,Norte,A61K 36/47,A61K,36/47,Produtos farmacêuticos
1015,UNIVERSIDADE FEDERAL DA PARAIBA,,,UFPB,PB,Nordeste,A01K 47/02,A01K,47/02,Outras máquinas especiais
1016,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,,,UFSJ,MG,Sudeste,G01L 1/12,G01L,1/12,Medição
1017,UNIVERSIDADE FEDERAL DA PARAIBA,,,UFPB,PB,Nordeste,A23J 3/34,A23J,3/34,Química Alimentar
1018,UNIVERSIDADE FEDERAL DA PARAIBA,,,UFPB,PB,Nordeste,C12C 12/00,C12C,12/00,Química Alimentar
1019,UNIVERSIDADE FEDERAL DE VIÇOSA,UNIVERSIDADE FEDERAL DE MINAS GERAIS,,UFV,MG,Sudeste,A61K 36/537,A61K,36/537,Produtos farmacêuticos
1020,UNIVERSIDADE ESTADUAL DO MARANHÃO - UEMA,UNIVERSIDADE FEDERAL DO MARANHÃO-UFMA,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO - UFRJ,,MA,Nordeste,A61K 36/58,A61K,36/58,Produtos farmacêuticos
1021,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE - PB,,,UFCG,PB,Nordeste,A21D 13/80,A21D,13/80,Química Alimentar
1022,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE - PB,,,UFCG,PB,Nordeste,A23L 27/10,A23L,27/10,Química Alimentar
1023,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE - PB,UNIVERSIDADE FEDERAL DA PARAÍBA,,UFCG,PB,Nordeste,A61K 8/96,A61K/8,8/96,Química fina orgânica
1024,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,,,UFSJ,MG,Sudeste,G01R 33/02,G01R,33/02,Medição
1025,UNIVERSIDADE FEDERAL DO TRIÂNGULO MINEIRO,,,UFTM,MG,Sudeste,B01D 53/74,^B01D/53,53/74,
1026,UNIVERSIDADE FEDERAL DE PERNAMBUCO,,,UFPE,PE,Nordeste,B23Q 11/00,B23Q,11/00,Máquina operatriz
1027,FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO,,,UFMT,MT,Centro-Oeste,A61H 15/00,A61H,15/00,Tecnologia médica
1028,CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS,SOCIEDADE MINEIRA DE CULTURA - SMC,,CEFET-MG,MG,Sudeste,F26B 3/28,F26B,3/28,Engenharia química
1029,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UNIVERSIDADE FEDERAL DE ITAJUBÁ - UNIFEI,FUNDAÇÃO DE AMPARO À PESQUISA DO ESTADO DE MINAS GERAIS - FAPEMIG,UFMG,MG,Sudeste,G01N 30/02,G01N,30/02,Medição
1030,UNIVERSIDADE FEDERAL DO PIAUÍ,,,UFPI,PI,Nordeste,A61K 47/36,A61K,47/36,Produtos farmacêuticos
1031,UNIVERSIDADE FEDERAL DE MINAS GERAIS,,,UFMG,MG,Sudeste,G01N 35/08,G01N,35/08,Medição
1032,Universidade Federal de Santa Catarina,,,UFSC,SC,Sul,G01J 1/00,G01J,1/00,Medição
1033,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA BAIANO",,,IFBAIANO,BA,Nordeste,A61B 5/11,A61B,5/11,Tecnologia médica
1034,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UNIÃO BRASILEIRA DE EDUCAÇÃO CATÓLICA,UNIVERSIDADE CATÓLICA DOM BOSCO,UFPE,PE,Nordeste,A61K 35/76,A61K,35/76,Produtos farmacêuticos
1035,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,,,UFU,MG,Sudeste,B23P 23/04,B23P,23/04,Máquina operatriz
1036,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,,,UFU,MG,Sudeste,B23K 9/12,B23K,9/12,Máquina operatriz
1037,UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA,,,UTFPR,PR,Sul,F24S 10/70,F24S,10/70,Processos e aparelhos térmicos
1038,UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA,,,UTFPR,PR,Sul,C03B 32/02,C03B,32/02,Outras máquinas especiais
1039,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SANTA CATARINA",,,IFSC,SC,Sul,B24B 55/02,B24B,55/02,Máquina operatriz
1040,UNIVERSIDADE FEDERAL DE ALAGOAS,,,UFAL,AL,Nordeste,B01L 5/02,B01L,5/02,Engenharia química
1041,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE PERNAMBUCO",,,IFPE,PE,Nordeste,A61M 5/142,A61M,5/142,Tecnologia médica
1042,UNIVERSIDADE FEDERAL DA PARAIBA,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,,UFPB,PB,Nordeste,A61K 47/34,A61K,47/34,Produtos farmacêuticos
1043,UNIVERSIDADE FEDERAL DE SANTA CATARINA - UFSC,,,UFSC,SC,Sul,B60Q 1/38,B60Q,1/38,Transporte
1044,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,,,RJ,Sudeste,B08B 9/027,B08B,9/027,Engenharia química
1045,UNIVERSIDADE FEDERAL DO PARÁ,UNIVERSIDADE FEDERAL RURAL DA AMAZÔNIA,,UFPA,PA,Norte,G02F 1/01,G02F,1/01,Óptica
1046,UNIVERSIDADE FEDERAL DO PARÁ,,,UFPA,PA,Norte,H01Q 1/38,H01Q,1/38,Telecomunicações
1047,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,,,UFRN,RN,Nordeste,G05D 1/00,G05D,1/00,Controle
1048,INSTITUTO FEDERAL DO TOCANTINS,,,IFTO,TO,Centro-Oeste,C05G 5/00,C05G,5/00,Química de materiais básicos
