,titular_1,titular_parceiros1,titular_parceiros2,titular_abv,titular_uf1,Regiao,class_int1,IPC1,IPC2,Area
2086,UNIVERSIDADE FEDERAL DA BAHIA,,,UFBA,BA,Nordeste,A61K 36/9066,A61K,36/9066,Produtos farmacêuticos
2087,FUNDAÇÃO UNIVERSIDADE FEDERAL DO ABC - UFABC,,,UFABC,SP,Sudeste,A61K 39/395,A61K,39/395,Produtos farmacêuticos
2088,UNIVERSIDADE FEDERAL DO RIO GRANDE - FURG,,,FURG,RS,Sul,A61K 35/57,A61K,35/57,Produtos farmacêuticos
2089,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,,,UFRJ,RJ,Sudeste,A61B 17/064,A61B,17/064,Tecnologia médica
2090,UNIVERSIDADE FEDERAL DE OURO PRETO - UFOP,,,UFOP,MG,Sudeste,G05B 19/05,G05B,19/05,Controle
2091,UNIVERSIDADE FEDERAL DA PARAIBA,,,UFPB,PB,Nordeste,C12N 1/04,C12N,1/04,Biotecnologia
2092,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UNIVERSIDADE FEDERAL DO VALE DO SÃO FRANCISCO,,UFPE,PE,Nordeste,A61K 47/50,A61K,47/50,Produtos farmacêuticos
2093,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UNIÃO BRASILEIRA DE EDUCAÇÃO CATÓLICA,,UFPE,PE,Nordeste,G01N 33/543,G01N/33,33/543,Análise de materiais biológicos
2094,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,FUNDAÇÃO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS - FAPEMIG,"IFTM - INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO TRIÂNGULO MINEIRO",UFU,MG,Sudeste,C07K 7/08,C07K,7/08,Biotecnologia
2095,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,HOSPITAL DE CLÍNICAS DE PORTO ALEGRE,,UFRGS,RS,Sul,A61K 38/47,A61K,38/47,Produtos farmacêuticos
2096,UNIVERSIDADE FEDERAL DE PELOTAS,,,UFPEL,RS,Sul,A61K 39/05,A61K,39/05,Produtos farmacêuticos
2097,UNIVERSIDADE FEDERAL DO PIAUÍ,FITO FIT - SUPLEMENTOS E PRODUTOS NATURAIS,,UFPI,PI,Nordeste,G01N 33/543,G01N/33,33/543,Análise de materiais biológicos
2098,UNIVERSIDADE FEDERAL DE PELOTAS,,,UFPEL,RS,Sul,C07K 14/34,C07K,14/34,Biotecnologia
2099,UNIVERSIDADE FEDERAL DA PARAIBA,UNIVERSIDADE ESTADUAL DA PARAÍBA,,UFPB,PB,Nordeste,G06K 9/00,G06K,9/00,Tecnologia computacional
2100,UNIVERSIDADE FEDERAL DO CEARÁ,,,UFC,CE,Nordeste,A23L 27/60,A23L,27/60,Química Alimentar
2101,UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA,,,UTFPR,PR,Sul,C01B 33/145,C01B,33/145,"Materiais, metalurgia"
2102,UNIVERSIDADE FEDERAL DE LAVRAS,FUNDAÇÃO DE AMPARO À PESQUISA DE MINAS GERAIS,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL-REI,UFLA,MG,Sudeste,G06Q 10/08,G06Q,10/08,Métodos de TI para gerenciamento
2103,FUNDAÇÃO UNIVERSIDADE DE BRASILIA,,,UNB,DF,Centro-Oeste,G01R 19/165,G01R,19/165,Medição
2104,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,UNIVERSIDADE FEDERAL DE PERNAMBUCO,,UFRPE,PE,Nordeste,C07F 9/00,C07F,9/00,Química fina orgânica
2105,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE - PB,,,UFCG,PB,Nordeste,A01N 63/14,A01N,63/14,Química de materiais básicos
2106,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PAMPA,,,UNIPAMPA,RS,Sul,C01B 32/184,C01B,32/184,"Materiais, metalurgia"
2107,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE - PB,,,UFCG,PB,Nordeste,A23B 4/14,A23B,4/14,Química Alimentar
2108,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE - PB,,,UFCG,PB,Nordeste,A23L 27/10,A23L,27/10,Química Alimentar
2109,UNIVERSIDADE FEDERAL DE MINAS GERAIS,FUNDAÇÃO DE AMPARO À PESQUISA DO ESTADO DE MINAS GERAIS - FAPEMIG,,UFMG,MG,Sudeste,A61K 6/864,A61K,6/864,Produtos farmacêuticos
2110,UNIVERSIDADE FEDERAL DO PARANA,,,UFPR,PR,Sul,A61K 9/00,A61K,9/00,Produtos farmacêuticos
2111,UNIVERSIDADE FEDERAL DO PARANA,,,UFPR,PR,Sul,A61K 9/00,A61K,9/00,Produtos farmacêuticos
