Municipio;valor_2013;valor_2014;valor_2015;valor_2016;valor_2017;valor_2018;valor_2019;valor_2020;valor_2021;valor_2022;valor_Total;valor2_2013;valor2_2014;valor2_2015;valor2_2016;valor2_2017;valor2_2018;valor2_2019;valor2_2020;valor2_2021;valor2_2022;valor2_Total;valor3_2013;valor3_2014;valor3_2015;valor3_2016;valor3_2017;valor3_2018;valor3_2019;valor3_2020;valor3_2021;valor3_2022;valor3_Total;valor4_2013;valor4_2014;valor4_2015;valor4_2016;valor4_2017;valor4_2018;valor4_2019;valor4_2020;valor4_2021;valor4_2022;valor4_Total;valor5_2013;valor5_2014;valor5_2015;valor5_2016;valor5_2017;valor5_2018;valor5_2019;valor5_2020;valor5_2021;valor5_2022;valor5_Total;AIH_2013;AIH_2014;AIH_2015;AIH_2016;AIH_2017;AIH_2018;AIH_2019;AIH_2020;AIH_2021;AIH_2022;AIH_Total;AIH1_2013;AIH1_2014;AIH1_2015;AIH1_2016;AIH1_2017;AIH1_2018;AIH1_2019;AIH1_2020;AIH1_2021;AIH1_2022;AIH1_Total;AIH2_2013;AIH2_2014;AIH2_2015;AIH2_2016;AIH2_2017;AIH2_2018;AIH2_2019;AIH2_2020;AIH2_2021;AIH2_2022;AIH2_Total;AIH3_2013;AIH3_2014;AIH3_2015;AIH3_2016;AIH3_2017;AIH3_2018;AIH3_2019;AIH3_2020;AIH3_2021;AIH3_2022;AIH3_Total;AIH4_2013;AIH4_2014;AIH4_2015;AIH4_2016;AIH4_2017;AIH4_2018;AIH4_2019;AIH4_2020;AIH4_2021;AIH4_2022;AIH4_Total;AIH5_2013;AIH5_2014;AIH5_2015;AIH5_2016;AIH5_2017;AIH5_2018;AIH5_2019;AIH5_2020;AIH5_2021;AIH5_2022;AIH5_Total;obito_2013;obito_2014;obito_2015;obito_2016;obito_2017;obito_2018;obito_2019;obito_2020;obito_2021;obito_2022;obito_Total;mortalidade_2013;mortalidade_2014;mortalidade_2015;mortalidade_2016;mortalidade_2017;mortalidade_2018;mortalidade_2019;mortalidade_2020;mortalidade_2021;mortalidade_2022;mortalidade_Total;dias_2013;dias_2014;dias_2015;dias_2016;dias_2017;dias_2018;dias_2019;dias_2020;dias_2021;dias_2022;dias_Total
313560 JEQUITAI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
313570 JEQUITIBA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
313580 JEQUITINHONHA;1002400.67;974518.67;873943.29;732421.77;786433.22;821983.08;768622.36;516964.69;723074.77;741134.62;7941497.14;;;;;;;;;;;;829707.2;795574.77;748327.51;625961.44;665583.42;690986.38;712964.21;464725.14;647901.53;630454.51;6812186.11;172693.47;178943.9;125615.78;106460.33;120849.8;130996.7;55658.15;52239.55;75173.24;110680.11;1129311.03;;;;;;;;;;;;1768;1672;1593;1361;1410;1658;1541;1095;1250;1466;14814;;;;;;;;;;;;;;;;;;;;;;;1511;1414;1352;1166;1183;1401;1432;994;1112;1272;12837;257;258;241;195;227;257;109;101;138;194;1977;;;;;;;;;;;;68;68;69;63;63;63;81;69;89;80;713;3.85;4.07;4.33;4.63;4.47;3.8;5.26;6.3;7.12;5.46;4.81;6081;5921;5636;4839;5254;6015;5876;4182;5339;5651;54794
313590 JESUANIA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
313600 JOAIMA;417985.06;404784.97;378051.39;374427.67;371624.34;367509.31;361444.39;317363.61;448668.84;368499.21;3810358.79;;;;;;;;;;;;324386.39;308830.88;290620.58;292394.78;292283.21;266870.17;274015.56;231552.68;350051.12;314917.32;2945922.69;93598.67;95954.09;87430.81;82032.89;79341.13;100639.14;87428.83;85810.93;98617.72;53581.89;864436.1;;;;;;;;;;;;759;709;667;687;666;626;600;530;625;586;6455;;;;;;;;;;;;;;;;;;;;;;;603;551;521;554;541;464;457;389;475;511;5066;156;158;146;133;125;162;143;141;150;75;1389;;;;;;;;;;;;29;32;41;33;34;42;40;34;34;43;362;3.82;4.51;6.15;4.8;5.11;6.71;6.67;6.42;5.44;7.34;5.61;2580;2815;2705;3032;2770;2492;2439;2056;2379;2601;25869
313610 JOANESIA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
313620 JOAO MONLEVADE;4455787.33;4871072.23;4581140.92;4635850.61;4617633.13;4779771.33;5032496.06;5117496.72;9255230.98;6380269.88;53726749.19;1362.29;409.3;207.78;1082.31;361.3;;;256.56;;;3679.54;2232579.47;2286754.04;2365319.38;2560463.09;2557353.48;2531016.19;2851843.83;3155575.7;7097733.3;4129145.05;31767783.53;2221845.57;2583908.89;2215613.76;2074305.21;2059918.35;2248755.14;2180652.23;1961664.46;2157497.68;2251124.83;21955286.12;;;;;;;;;;;;4955;4992;4757;5077;5256;5315;5112;4499;5101;5414;50478;7;2;1;6;2;;;1;;;19;7;2;1;6;2;;;1;;;19;2349;2337;2298;2602;2750;2741;2670;2496;3041;3035;26319;2599;2653;2458;2469;2504;2574;2442;2002;2060;2379;24140;;;;;;;;;;;;229;245;262;274;326;290;348;366;587;401;3328;4.62;4.91;5.51;5.4;6.2;5.46;6.81;8.14;11.51;7.41;6.59;18387;18447;19259;21102;21049;20957;22405;20670;26316;25080;213672
313630 JOAO PINHEIRO;783784.58;1164910.59;1206093.93;1102219.13;1016971.46;1229125.07;1336058.56;1107327.85;3273652.82;2108490.6;14328634.59;196.78;;;;;;;;236.72;228.72;662.22;423665.47;507787.65;558214.77;495798.64;446384.26;480375.03;517892.22;461407.35;2754116.25;1363920.34;8009561.98;359922.33;657122.94;647879.16;606420.49;570587.2;748750.04;818166.34;645920.5;519299.85;741582.1;6315650.95;;;;;;;;;;2759.44;2759.44;1919;2632;2676;2539;2324;2680;2921;2235;2228;2345;24499;1;;;;;;;;2;2;5;1;;;;;;;;2;2;5;1128;1304;1379;1312;1236;1293;1334;998;1306;1225;12515;790;1328;1297;1227;1088;1387;1587;1237;920;1117;11978;;;;;;;;;;1;1;37;18;5;13;29;49;57;61;186;107;562;1.93;0.68;0.19;0.51;1.25;1.83;1.95;2.73;8.35;4.56;2.29;5974;6674;7775;7417;7567;8739;9455;7558;10445;9560;81164
313640 JOAQUIM FELICIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
313650 JORDANIA;92910.57;138452.97;207057.04;206242.9;138759.33;145412.48;114397.46;117134.47;151119.16;180641.15;1492127.53;;;;;;;;;;;;92910.57;138452.97;207057.04;206242.9;138759.33;145412.48;114397.46;117134.47;150425.08;180641.15;1491433.45;;;;;;;;;559.08;;559.08;;;;;;;;;135;;135;219;368;499;462;308;320;280;240;254;351;3301;;;;;;;;;;;;;;;;;;;;;;;219;368;499;462;308;320;280;240;252;351;3299;;;;;;;;;1;;1;;;;;;;;;1;;1;2;1;2;4;3;9;7;5;11;26;70;0.91;0.27;0.4;0.87;0.97;2.81;2.5;2.08;4.33;7.41;2.12;856;1261;1744;1280;928;999;865;968;1348;1857;12106
313652 JOSE GONCALVES DE MINAS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
313655 JOSE RAYDAN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
313657 JOSENOPOLIS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
313660 NOVA UNIAO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
313665 JUATUBA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
313670 JUIZ DE FORA;92474685.88;93906510.48;91052849.9;96889612.13;99537156.54;101048200.9;107090445.1;102725888.7;147269941.5;124596416.2;1056591707;60186.03;39108.66;25238.08;33566.42;38321.26;29910.14;56150.58;57044.77;70021.55;55525.34;465072.83;43709639.21;41053192.71;40020965.16;44728056.83;44816168.37;45287957.58;44150041.77;46539583.49;84198689.74;53043387.31;487547682.2;44623612.81;48373019.65;47289818.25;48196352.55;49862556.65;50349656.5;53804096.25;49048014.16;54299797.96;60628485.21;506475410;4081247.83;4441189.46;3716828.41;3931636.33;4820110.26;5380676.68;9080156.51;7081246.31;8701432.25;10869018.38;62103542.42;55187;53115;49723;50205;51365;51054;50468;40848;44127;49166;495258;99;66;50;48;50;46;50;85;63;56;613;99;66;50;48;50;46;50;85;63;56;613;32207;30279;27666;27616;28313;28493;28598;24203;26273;26931;280579;22541;22391;21593;22111;22542;21988;21184;16029;17187;21470;209036;340;379;414;430;460;527;636;531;604;709;5030;2361;2388;2436;2487;2394;2386;2432;2363;3331;2642;25220;4.73;4.92;5.16;5.19;4.88;4.88;5.04;6.07;7.85;5.57;5.38;501627;451402;395519;380744;373420;372492;377213;311376;333438;350364;3847595
313680 JURAMENTO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
313690 JURUAIA;233097.63;229307.76;212216.94;203954.75;205628.91;225422.21;218579.38;165489.55;193244.31;202961.27;2089902.71;;;;;;;;;;;;146467.21;143175.61;117992.62;110548.85;100089.7;136713.47;130628.39;91346.44;165086.51;105429.16;1247477.96;86630.42;86132.15;94224.32;93405.9;105539.21;88708.74;87950.99;74143.11;28157.8;97532.11;842424.75;;;;;;;;;;;;472;463;414;395;405;432;402;310;214;378;3885;;;;;;;;;;;;;;;;;;;;;;;310;291;242;217;207;258;237;172;164;203;2301;162;172;172;178;198;174;165;138;50;175;1584;;;;;;;;;;;;6;8;17;19;11;11;14;9;13;11;119;1.27;1.73;4.11;4.81;2.72;2.55;3.48;2.9;6.07;2.91;3.06;1285;1168;1067;974;1125;1383;1322;905;859;1200;11288
313695 JUVENILIA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
313700 LADAINHA;158164.45;143107.6;143067.95;126913.45;154582.86;175094.94;187155.39;221636.61;309107.52;305000.27;1923831.04;;;;;;;;;;;;158164.45;143107.6;142925.11;126913.45;154582.86;175094.94;187155.39;221636.61;309107.52;305000.27;1923688.2;;;142.84;;;;;;;;142.84;;;;;;;;;;;;398;358;351;294;361;417;470;516;575;586;4326;;;;;;;;;;;;;;;;;;;;;;;398;358;350;294;361;417;470;516;575;586;4325;;;1;;;;;;;;1;;;;;;;;;;;;9;10;15;15;4;10;13;29;29;25;159;2.26;2.79;4.27;5.1;1.11;2.4;2.77;5.62;5.04;4.27;3.68;2252;1671;1879;1699;1308;1662;2568;2827;2685;2500;21051
313710 LAGAMAR;60108.91;64046.12;51201.35;62301.91;65085.63;71340.68;63940.13;55088.34;107353.74;66017.86;666484.67;;;;;;;;;;;;60108.91;64046.12;51201.35;62301.91;65085.63;71340.68;63940.13;55088.34;107353.74;66017.86;666484.67;;;;;;;;;;;;;;;;;;;;;;;162;150;143;151;161;169;159;114;139;124;1472;;;;;;;;;;;;;;;;;;;;;;;162;150;143;151;161;169;159;114;139;124;1472;;;;;;;;;;;;;;;;;;;;;;;3;2;1;4;;;7;4;4;7;32;1.85;1.33;0.7;2.65;;;4.4;3.51;2.88;5.65;2.17;651;619;493;509;586;640;614;479;542;514;5647
313720 LAGOA DA PRATA;2260622.48;2959810.7;3012966.82;3291120.46;3323374.5;3437235.72;3099554.77;4005216.45;6174488.43;5483521.84;37047912.17;;;;;;;;;;;;1502263.88;2026540.29;1987502.97;2100762.98;2142008.66;2332908.12;2238404.63;3493008.96;5018995.51;2521273.45;25363669.45;758358.6;933270.41;1025463.85;1190357.48;1181365.84;1104327.6;861150.14;512207.49;1155492.92;2962248.39;11684242.72;;;;;;;;;;;;2578;2766;3191;3184;2899;2879;2425;1855;2625;4322;28724;;;;;;;;;;;;;;;;;;;;;;;1221;1344;1465;1397;1283;1336;1200;1193;1448;1076;12963;1357;1422;1726;1787;1616;1543;1225;662;1177;3246;15761;;;;;;;;;;;;148;176;139;142;126;113;125;128;199;159;1455;5.74;6.36;4.36;4.46;4.35;3.92;5.15;6.9;7.58;3.68;5.07;8900;10312;10959;10794;9794;10545;10529;9963;11444;11047;104287
313730 LAGOA DOS PATOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
313740 LAGOA DOURADA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
313750 LAGOA FORMOSA;305704.44;367815.72;330565.59;370214.93;356294.45;176909.48;229783.75;184635.42;400310.41;361901;3084135.19;;;;;;;;;;;;237674.66;269426.62;242325.21;273051.21;262366.83;105111.28;123399.71;116828.33;298270.76;185131.06;2113585.67;68029.78;98389.1;88240.38;97163.72;93927.62;71798.2;106384.04;67807.09;102039.65;176769.94;970549.52;;;;;;;;;;;;665;687;716;780;712;341;471;428;537;654;5991;;;;;;;;;;;;;;;;;;;;;;;541;558;534;579;531;226;263;289;385;359;4265;124;129;182;201;181;115;208;139;152;295;1726;;;;;;;;;;;;23;19;20;28;20;10;21;18;30;27;216;3.46;2.77;2.79;3.59;2.81;2.93;4.46;4.21;5.59;4.13;3.61;1945;2126;2102;2305;2238;1090;1546;1271;1701;1904;18228
313753 LAGOA GRANDE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
313760 LAGOA SANTA;743360.17;99870.74;;60021.85;841597.46;873619.52;899082.45;904957.83;1996040.77;3084249.95;9502800.74;;;;;138.36;;138.36;;;;276.72;377793.6;87904.09;;38344.08;379589.53;356093.79;465075.2;395203.52;1418342.57;1807466.36;5325812.74;365566.57;11966.65;;21677.77;461869.57;517525.73;433868.89;509754.31;577698.2;1276783.59;4176711.28;;;;;;;;;;;;1873;299;;135;1849;1789;2050;2049;2253;3190;15487;;;;;1;;1;;;;2;;;;;1;;1;;;;2;1118;264;;90;968;1029;1381;1210;1349;1560;8969;755;35;;45;880;760;668;839;904;1630;6516;;;;;;;;;;;;80;18;;1;46;31;75;61;133;163;608;4.27;6.02;;0.74;2.49;1.73;3.66;2.98;5.9;5.11;3.93;6263;1501;;749;9140;7568;8599;6278;8438;10851;59387
313770 LAJINHA;149287.18;282688.83;297187.25;335061.91;364736.17;357596.21;343160.42;274857.05;355543;394317.22;3154435.24;;;;;;;;;;;;83366.55;193783.14;224362.27;248316.49;237552.33;245208.84;230780.9;182781.53;269845.09;283890.96;2199888.1;65920.63;88905.69;72824.98;86745.42;127183.84;112387.37;112379.52;92075.52;85697.91;110426.26;954547.14;;;;;;;;;;;;336;604;540;601;646;561;598;478;613;654;5631;;;;;;;;;;;;;;;;;;;;;;;209;446;412;450;437;360;401;331;479;486;4011;127;158;128;151;209;201;197;147;134;168;1620;;;;;;;;;;;;1;20;8;6;16;11;16;12;25;23;138;0.3;3.31;1.48;1;2.48;1.96;2.68;2.51;4.08;3.52;2.45;928;2304;1947;2159;2022;1889;1983;1435;2200;2538;19405
313780 LAMBARI;430450.71;412913.14;443244.21;423936.41;412170.87;431205.45;441497.27;327509.87;486196.96;442891.81;4252016.7;;;;;;;;;;;;231745.23;266685.88;314512.34;304216.6;307681.67;284535.9;335201.3;224721.61;344378.21;269314.1;2882992.84;198705.48;146227.26;128731.87;119719.81;104489.2;146669.55;106295.97;102788.26;141818.75;173577.71;1369023.86;;;;;;;;;;;;846;834;874;831;736;788;836;618;767;746;7876;;;;;;;;;;;;;;;;;;;;;;;506;562;638;610;560;560;643;463;553;480;5575;340;272;236;221;176;228;193;155;214;266;2301;;;;;;;;;;;;49;59;76;68;62;60;67;61;64;52;618;5.79;7.07;8.7;8.18;8.42;7.61;8.01;9.87;8.34;6.97;7.85;2479;2366;2451;2551;2574;2524;2687;1997;2840;2593;25062
313790 LAMIM;;;;;;4940.16;;;;;4940.16;;;;;;;;;;;;;;;;;4940.16;;;;;4940.16;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45;;;;;45
313800 LARANJAL;105994.74;65142.48;92784.75;82547.7;93640.29;126000.29;69838.17;49114.85;52981.1;43346.77;781391.14;;;;;;;;;;;;105994.74;65142.48;92784.75;82547.7;93640.29;126000.29;69838.17;49114.85;52981.1;43346.77;781391.14;;;;;;;;;;;;;;;;;;;;;;;255;176;196;158;187;234;147;96;121;100;1670;;;;;;;;;;;;;;;;;;;;;;;255;176;196;158;187;234;147;96;121;100;1670;;;;;;;;;;;;;;;;;;;;;;;1;1;3;2;4;8;2;;6;3;30;0.39;0.57;1.53;1.27;2.14;3.42;1.36;;4.96;3;1.8;1024;685;740;607;750;1047;605;459;571;463;6951
313810 LASSANCE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
313820 LAVRAS;10349679.83;9094178.78;9302036.77;9225784.16;9765029.28;9267904.62;9800985.4;9124315.31;14825712.83;11387639.33;102143266.3;397.43;;;389.67;;12064.33;591.97;3525.09;847.83;37759.71;55576.03;6466714.22;5225910.81;5727676.58;5609212.26;6297468.47;5857841.21;5953830.94;5666227.2;11503812.05;7106637.28;65415331.02;3882568.18;3868267.97;3574360.19;3616182.23;3461151.17;3388898.55;3846562.49;3454563.02;3321052.95;4243242.34;36656849.09;;;;;6409.64;9100.53;;;;;15510.17;7336;6491;6335;6038;6119;6713;6893;5548;6284;6514;64271;2;;;1;;6;2;2;1;16;30;2;;;1;;6;2;2;1;16;30;4235;3374;3467;3156;3292;3605;3550;2981;3732;3355;34747;3099;3117;2868;2881;2825;3097;3341;2565;2551;3143;29487;;;;;2;5;;;;;7;303;312;312;302;340;305;337;322;467;316;3316;4.46;4.81;4.93;5;5.56;4.54;4.89;5.8;7.43;4.85;5.2;49449;27008;26941;26198;27491;28813;30086;24394;29818;28016;298214
313830 LEANDRO FERREIRA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
313835 LEME DO PRADO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
313840 LEOPOLDINA;5232326.64;5613151.64;3408128.78;3181669.65;3172094.31;3153836.13;3465784.28;5262626.15;8573699.09;4918102.11;45981418.78;;;;;;;;;;;;4368975.86;4339631.58;2380929.02;2254388.47;2237398.64;2243061.63;2394318.29;4337810.19;7608916.07;3967059.4;36132489.15;863350.78;1273520.06;1027199.76;927281.18;934695.67;910774.5;1071465.99;924815.96;964783.02;951042.71;9848929.63;;;;;;;;;;;;5166;5356;3631;3243;3319;3398;3899;3204;3375;3041;37632;;;;;;;;;;;;;;;;;;;;;;;4158;4076;2416;2213;2243;2356;2710;2271;2453;2112;27008;1008;1280;1215;1030;1076;1042;1189;933;922;929;10624;;;;;;;;;;;;187;187;193;209;200;204;222;225;356;254;2237;4.48;4.33;5.57;6.44;6.03;6;5.69;7.02;10.55;8.35;6.31;64252;61150;21595;15213;14538;15204;17321;14605;18659;15686;258223
313850 LIBERDADE;55342.89;;;;;;;;;;55342.89;;;;;;;;;;;;49805.75;;;;;;;;;;49805.75;5537.14;;;;;;;;;;5537.14;;;;;;;;;;;;164;;;;;;;;;;164;;;;;;;;;;;;;;;;;;;;;;;153;;;;;;;;;;153;11;;;;;;;;;;11;;;;;;;;;;;;6;;;;;;;;;;6;3.66;;;;;;;;;;3.66;703;;;;;;;;;;703
313860 LIMA DUARTE;481566.99;467435.08;297020.71;350415.53;363208.28;367760.58;375899.36;296325.64;312952.89;430983.24;3743568.3;;;;;;;;;;;;328733.53;371858.09;276925.2;280775.56;268380.46;228911.74;254226.46;206585.58;235600.66;315449.09;2767446.37;152833.46;95576.99;20095.51;69639.97;94827.82;138848.84;121672.9;89740.06;77352.23;115534.15;976121.93;;;;;;;;;;;;1195;1197;727;870;916;825;837;622;653;869;8711;;;;;;;;;;;;;;;;;;;;;;;773;910;663;650;637;476;489;398;431;594;6021;422;287;64;220;279;349;348;224;222;275;2690;;;;;;;;;;;;42;48;57;43;37;49;40;41;50;62;469;3.51;4.01;7.84;4.94;4.04;5.94;4.78;6.59;7.66;7.13;5.38;4364;4493;3120;3415;4333;3877;3458;2831;2747;4778;37416
313862 LIMEIRA DO OESTE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
313865 LONTRA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
313867 LUISBURGO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
313868 LUISLANDIA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
313870 LUMINARIAS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
313880 LUZ;482982.49;507163.84;483106.48;656541.38;617242.01;642747.91;887564.93;673651.12;1019190.35;824220.12;6794410.63;;;;;;;;;;;;377092.98;397309.7;393093.78;461467.26;490083.68;471962.48;553305.05;416647.25;707193.75;549943.87;4818099.8;105889.51;109854.14;90012.7;195074.12;127158.33;170785.43;334259.88;257003.87;311996.6;274276.25;1976310.83;;;;;;;;;;;;1156;1155;1140;1540;1492;1755;2170;1546;1796;1890;15640;;;;;;;;;;;;;;;;;;;;;;;930;952;954;1162;1242;1364;1540;1048;1195;1351;11738;226;203;186;378;250;391;630;498;601;539;3902;;;;;;;;;;;;28;32;48;57;66;56;84;66;64;60;561;2.42;2.77;4.21;3.7;4.42;3.19;3.87;4.27;3.56;3.17;3.59;3676;3723;4141;5172;4889;4989;6168;3967;4941;5430;47096
313890 MACHACALIS;360021.76;368412.05;351715.05;300838.16;344041.38;329808.59;290229.4;200972.62;244453.57;257235.62;3047728.2;;;;;;;;;;;;345483.1;353610.47;338204.47;297452.24;343302.84;327091.27;290229.4;200074.52;244453.57;256239.19;2996141.07;14538.66;14801.58;13510.58;3385.92;738.54;2717.32;;898.1;;996.43;51587.13;;;;;;;;;;;;856;883;837;740;830;825;762;511;583;573;7400;;;;;;;;;;;;;;;;;;;;;;;832;858;814;731;826;814;762;506;583;570;7296;24;25;23;9;4;11;;5;;3;104;;;;;;;;;;;;3;5;8;6;11;7;7;14;19;24;104;0.35;0.57;0.96;0.81;1.33;0.85;0.92;2.74;3.26;4.19;1.41;3216;3306;3101;2732;3227;3242;2851;1500;2036;2671;27882
