tipo_matriz;cod_ibge;classe_conta;conta_contabil;poder_orgao;financeiro_permanente;ano_fonte_recursos;fonte_recursos;exercicio;mes_referencia;divida_consolidada;data_referencia;entrada_msc;valor;natureza_conta;tipo_valor;complemento_fonte
MSCE;32;1;111115003;10111;1.0;1.0;11130000;2019;12;;2019-12-31T03:00:00Z;296;280265.28;D;ending_balance;
MSCE;32;1;111115003;10111;1.0;1.0;11130000;2019;12;;2019-12-31T03:00:00Z;298;21488138.92;D;ending_balance;
MSCE;32;1;111115003;10111;1.0;1.0;11200000;2019;12;;2019-12-31T03:00:00Z;300;19126735.09;D;ending_balance;
MSCE;32;1;111115003;10111;1.0;1.0;11200000;2019;12;;2019-12-31T03:00:00Z;302;1283782.16;D;ending_balance;
MSCE;32;1;111115003;10111;1.0;1.0;15100000;2019;12;;2019-12-31T03:00:00Z;304;18782580.27;D;ending_balance;
MSCE;32;1;111115003;10111;1.0;1.0;15100000;2019;12;;2019-12-31T03:00:00Z;306;199775.8;D;ending_balance;
MSCE;32;1;111115003;10111;1.0;1.0;12140000;2019;12;;2019-12-31T03:00:00Z;308;4500.0;D;ending_balance;
MSCE;32;1;111115003;10111;1.0;1.0;12140000;2019;12;;2019-12-31T03:00:00Z;310;6187286.0;D;ending_balance;
MSCE;32;1;111115003;10111;1.0;1.0;12140000;2019;12;;2019-12-31T03:00:00Z;312;5003244.58;D;ending_balance;
MSCE;32;1;111115003;10111;1.0;1.0;12140000;2019;12;;2019-12-31T03:00:00Z;314;12734072.58;D;ending_balance;
MSCE;32;1;111115003;10111;1.0;1.0;12150000;2019;12;;2019-12-31T03:00:00Z;316;4550046.47;D;ending_balance;
MSCE;32;1;111115003;10111;1.0;1.0;12140000;2019;12;;2019-12-31T03:00:00Z;318;153225.14;D;ending_balance;
MSCE;32;1;111115003;10111;1.0;1.0;12140000;2019;12;;2019-12-31T03:00:00Z;320;24565658.27;D;ending_balance;
MSCE;32;1;111115003;10111;1.0;1.0;12140000;2019;12;;2019-12-31T03:00:00Z;322;1982042.95;D;ending_balance;
MSCE;32;1;111115003;10111;1.0;1.0;19400000;2019;12;;2019-12-31T03:00:00Z;324;0.49;D;ending_balance;
MSCE;32;1;111115003;10111;1.0;1.0;19400000;2019;12;;2019-12-31T03:00:00Z;326;320674.11;D;ending_balance;
MSCE;32;1;111115003;10111;1.0;1.0;13900000;2019;12;;2019-12-31T03:00:00Z;328;12683865.91;D;ending_balance;
MSCE;32;1;111115003;10111;1.0;1.0;15200000;2019;12;;2019-12-31T03:00:00Z;330;26608.68;D;ending_balance;
MSCE;32;1;111115003;10111;1.0;1.0;19200000;2019;12;;2019-12-31T03:00:00Z;332;49898.81;D;ending_balance;
MSCE;32;1;111115003;10111;1.0;1.0;19200000;2019;12;;2019-12-31T03:00:00Z;334;1302822.11;D;ending_balance;
MSCE;32;1;111115003;10111;1.0;1.0;19200000;2019;12;;2019-12-31T03:00:00Z;336;676444.56;D;ending_balance;
MSCE;32;1;111115003;10111;1.0;1.0;12300000;2019;12;;2019-12-31T03:00:00Z;338;9481628.97;D;ending_balance;
MSCE;32;1;111115003;10111;1.0;1.0;19200000;2019;12;;2019-12-31T03:00:00Z;340;23363.69;D;ending_balance;
MSCE;32;1;111115003;10111;1.0;1.0;19200000;2019;12;;2019-12-31T03:00:00Z;342;4743174.9;D;ending_balance;
MSCE;32;1;111115003;10111;1.0;1.0;19200000;2019;12;;2019-12-31T03:00:00Z;344;5778960.93;D;ending_balance;
MSCE;32;1;111115003;10111;1.0;1.0;19200000;2019;12;;2019-12-31T03:00:00Z;346;19107169.48;D;ending_balance;
MSCE;32;1;111115003;10111;1.0;1.0;19200000;2019;12;;2019-12-31T03:00:00Z;348;70168.91;D;ending_balance;
MSCE;32;1;111115003;10111;1.0;1.0;11220000;2019;12;;2019-12-31T03:00:00Z;350;6920634.73;D;ending_balance;
MSCE;32;1;111115003;10111;1.0;1.0;11220000;2019;12;;2019-12-31T03:00:00Z;352;990639.5;D;ending_balance;
MSCE;32;1;111115003;10111;1.0;1.0;11230000;2019;12;;2019-12-31T03:00:00Z;354;3874.22;D;ending_balance;
MSCE;32;1;111115003;10111;1.0;1.0;11900000;2019;12;;2019-12-31T03:00:00Z;356;3839025.42;D;ending_balance;
MSCE;32;1;111115003;10111;1.0;1.0;11900000;2019;12;;2019-12-31T03:00:00Z;358;1134679.6;D;ending_balance;
MSCE;32;1;111115003;10111;1.0;1.0;16100000;2019;12;;2019-12-31T03:00:00Z;360;3000678.6;D;ending_balance;
MSCE;32;1;111115003;10111;1.0;1.0;12140000;2019;12;;2019-12-31T03:00:00Z;362;78443748.04;D;ending_balance;
MSCE;32;1;111115003;10111;1.0;1.0;12150000;2019;12;;2019-12-31T03:00:00Z;364;22613015.41;D;ending_balance;
MSCE;32;1;111115003;10111;1.0;1.0;13110000;2019;12;;2019-12-31T03:00:00Z;366;3421319.69;D;ending_balance;
MSCE;32;1;111115003;10111;1.0;1.0;13900000;2019;12;;2019-12-31T03:00:00Z;368;524025.76;D;ending_balance;
MSCE;32;1;111115003;10111;1.0;1.0;19300000;2019;12;;2019-12-31T03:00:00Z;370;47434183.47;D;ending_balance;
MSCE;32;1;111115003;10111;1.0;1.0;13900000;2019;12;;2019-12-31T03:00:00Z;372;312896.05;D;ending_balance;
MSCE;32;1;111115003;10111;1.0;1.0;13900000;2019;12;;2019-12-31T03:00:00Z;374;3641314.57;D;ending_balance;
MSCE;32;1;111115003;10111;1.0;1.0;19300000;2019;12;;2019-12-31T03:00:00Z;376;5035.73;D;ending_balance;
MSCE;32;1;111115003;10111;1.0;1.0;19400000;2019;12;;2019-12-31T03:00:00Z;378;11211181.14;D;ending_balance;
MSCE;32;1;111115003;10111;1.0;1.0;19300000;2019;12;;2019-12-31T03:00:00Z;380;18751.76;D;ending_balance;
MSCE;32;1;111115003;10111;1.0;1.0;19400000;2019;12;;2019-12-31T03:00:00Z;382;3780888.27;D;ending_balance;
MSCE;32;1;111115003;10111;1.0;1.0;19400000;2019;12;;2019-12-31T03:00:00Z;384;6584631.13;D;ending_balance;
MSCE;32;1;111115003;10111;1.0;1.0;19400000;2019;12;;2019-12-31T03:00:00Z;386;934047.07;D;ending_balance;
MSCE;32;1;111115003;10111;1.0;1.0;11900000;2019;12;;2019-12-31T03:00:00Z;388;90186.52;D;ending_balance;
MSCE;32;1;111115003;10111;1.0;1.0;10900000;2019;12;;2019-12-31T03:00:00Z;390;8343696.87;D;ending_balance;
MSCE;32;1;111115003;10111;1.0;1.0;10900000;2019;12;;2019-12-31T03:00:00Z;392;34191.97;D;ending_balance;
MSCE;32;1;111115003;10111;1.0;1.0;15100000;2019;12;;2019-12-31T03:00:00Z;394;5313411.37;D;ending_balance;
MSCE;32;1;111115003;10111;1.0;1.0;15100000;2019;12;;2019-12-31T03:00:00Z;396;68.56;D;ending_balance;
MSCE;32;1;111115003;10111;1.0;1.0;19400000;2019;12;;2019-12-31T03:00:00Z;398;732659.44;D;ending_balance;
MSCE;32;1;111115003;10111;1.0;1.0;19400000;2019;12;;2019-12-31T03:00:00Z;400;751516.75;D;ending_balance;
MSCE;32;1;111115003;10111;1.0;1.0;19400000;2019;12;;2019-12-31T03:00:00Z;402;1404133.4;D;ending_balance;
